id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,target
54,12.13,0.978,0.1,1.38,9.74,-2.52,2.41,0.6169,5.518,3.9364,2.54,6.3,4.65,7.0,29.7,6.5247,2.416,133270.244,1.7,1.7441,5.8,2.722,0.2754,10.74,1.85,34.5,1.028,1330.9,4.58,2.4,52.538,0.95,5.0929,-11.3,9.1338,0.2788,27967500.8,1.048,0.3,3.713,1.8,101609.8186,9.8,0.08,3.13,12.4,0.08,0.2361,47.881,64.70,0.554,82.1121,1.2,81.3,5.23,0.4526,10.2529,7758640675.27,10.85,1.81,3.808,0.961,0.337,8.008,21.261,8.32,30.98,0.1493,1.0367,0,268.9,0.52,5.4,3.53,8.8,1.74,18.3,2.212,0.11,0.9,0.331,10.256,8.2707,5.0753,0.1,56.039,0.3,1.74,0.874,1.404,666.0,7.185,2.6295,6.142,6.72,2.3084,3.1175,4.05,0.6,6.0512,9.28,151981339.559,2.4642,5.5675,396.90,2.17,0.05,60.3192,-1.9321,0.4,6.4309,0.00,2.352,0.4,5.5537,5.82401,1675818.235,52.65,5.487,0.5320,17.7,6.5783,1.1,0.65,4.7611,3.1966,9.6,-2.9558,0.613,0.014,57.47,6.2420,1.3,1.7,3.8,3.2545,24,11.3642,2.1,4.7,693792090.6,0.0207,0.4,21.5,21.37,20.20,0.211,5.002,-4.73,0.1172,0.2,0.784,4.519,0.357,2200.588,0.29,0.4,1.4506,3.04,3.4242,0.27,3154.515,6.7568,2.9,0.03,2.5,0.1228,5.83,0.8939,5.25,2.501,9.7503,0.407,3.9561,18.100,2.75,0.9822,2320.87,3.823,0.839,1.0,6.06,0.07,6.47,0.248,4.8249,2.13,4.71,21.647,36.7903,7.4094,4.767,4.7,2.84,0.4,10.163,4.31,0.89,0.62,177319.2289,23.00
55,22.83,0.618,0.2,1.48,9.91,14.085,2.56,0.269,11.721,7.4964,3.18,6.8,6.71,5.1,30.7,4.9804,1.989,335624896.551,8.1,1.9615,-6.6,3.905,0.2483,10.45,-1.57,48.5,0.353,10014.6,7.53,5.9,19.6199,20.83,2.1245,-12.1,10.2433,0.3673,219.9,1116.092,0.2,1.187,1.4,45734949773.4,4.8,0.012,3.42,7.9,0.24,633854972.14,30.624,84.20,0.817,83.6602,1.28,65.9,1.83,0.949,9.3368,25.31,0.88,2.73,32.455,0.918,0.166,-12.0541,3.603,2.036,27.36,0.6534,0.1922,0,3.2,0.3,2.6,2.49,9.5,3.12,7.3,4.8047,1.236,0.772,0.493,2.377,5.8256,4.6918,1.11,3.635,0.3,1.3,0.6748,0.387,432.0,3.801,-5.04,6.0808,7.6,3.6444,4.9066,4.052,0.7,5.0999,7.82,280.035,11.0026,4.6032,388.74,2.19,0.06,41.8997,0.5013,0.13,4.9505,0.00,1.336,0.0,6.9702,0.14231,3175.23,4.94,4.418,0.5470,208.0,2.627,1.16,0.65,8.8608,9.4183,3.7,9.3679,0.618,0.043,7.94,6.2540,2.5,2.6,7.6,3.4522,6,7.9452,3.3,6.57,7706683.7,17028.4009,0.2,1.4,6.99,17.80,0.323,4.7458,12.11,0.4507,0.1,0.844,2.229,0.619,15549.5711,0.01,0.29,3.3208,1.63,2.2565,0.231,1563957.865,5.044,4.0,0.4,6.4,0.0048,6.5,0.2854,6.16,3.2107,13.8851,0.645,4.3233,10.010,1.38,0.0741,2568.416,5.045,0.694,0.3,5.83,0.19,1.23,0.572,4.3423,3.01,6.64,34.799,2.2039,7.5639,9.217,5.7,2.64,0.4,5.968,6.61,0.06,0.18,372764.9842,18.50
56,28.62,0.443,0.2,3.2,-3.32,-1.587,1.35,0.827,0.638,2.2932,3.08,4.6,7.54,3.8,20.6,5.4453,11.333,283.979,1.2,1.8294,7.9,3.987,0.2792,14.09,-15.57,14.7,0.033,2962.7,6.23,4.2,73.0623,0.68,2.3123,6.9,8.5496,0.0953,1181141.1,6671693.923,0.3,3.053,5.9,8383.1308,6.7,0.163,3.15,11.2,0.09,90.452,23.066,85.20,0.766,117.1292,2.77,85.4,33.85,0.7847,5.9637,0.0,3.1,2.14,36.154,0.83,6.082,-7.2846,2.569,1.604,26.18,0.0735,2.031,0,8.8,1.75,7.5,1.27,8.5,4507.65,9.7,2.3152,0.887,0.592,0.279,1.565,8.4372,2.3642,0.4,1.086,0.1,1.65,0.9857,1.23,384.0,7.056,8.6832,6.5555,10.92,3.3417,5.3715,3.355,0.7,5.6325,7.8,479.08,1.4915,1.6104,387.69,3.71,0.14,41.4304,3.3441,0.72,-9.4609,0.00,78.112,22964.5,8.3638,0.13117,18853.555,354.34,1.394,0.5200,7494.2,3.5452,1.64,0.69,3.4497,8.1718,16.0,7.104,0.611,0.237,3.74,6.1270,2.7,9.4,8.0,4.4114,5,9.2981,2.1,5.28,564995767.3,4.0707,0.6,11.5,8.58,20.90,0.684,3.2237,9.73,0.8717,0.4,0.848,1.923,0.285,23893.8585,0.37,0.17,4.9127,1.73,2.1224,0.012,203675.876,5.6696,1.6,0.06,6.3,0.084,5.45,0.8402,6.26,2.7784,10.8467,0.107,5.9468,8.560,10.17,0.2409,1087.496,4.594,0.492,0.2,5.8,0.92,4.28,0.657,4.4806,2.36,5.94,28.85,8.208,4.0625,5.267,12.0,2.84,0.6,3.6722,6.83,0.19,0.21,219.3242,20.40
57,22.03,0.761,0.1,1.04,6.86,8.522,7.0,1.1861,12.508,4.8863,3.51,6.7,6.09,6.7,57.3,2.7008,3.459,5.87,1.3,1.0751,-8.3,5.528,0.4443,5.98,2.6,30.8,0.425,998.1,4.23,4.0,6.8125,8.53,-0.1487,-11.3,8.4004,0.2205,18386.6,284.221,0.5,3.12,1.8,0.0855,1.7,0.02,3.23,6.5,0.16,1745.524,9.179,44.40,0.92,107.1234,22.98,61.1,13.21,0.7781,9.0176,0.0,9.42,1.82,17.909,0.198,5.959,-3.7996,109.282,36.223,23.24,0.6342,4.5251,0,1.5,0.18,4.9,1.05,11.7,3.03,7.2,0.6441,0.084,0.688,0.469,1.351,3.57,4.4777,2.95,1.145,0.9,1.92,0.1679,1.015,335.0,5.988,16.9483,3.3541,5.14,2.1481,7.0143,2.884,0.7,0.3664,8.01,5317.895,1.9564,1.6837,396.90,2.27,0.21,35.9181,4.0162,0.27,-19.9028,40.00,1.414,12427930.7,7.4265,0.06211,55.546,157967.7,5.126,0.4290,273.4,5.738,1.87,0.52,10.1093,1.2665,14.6,1.4768,0.737,0.09,1.62,6.4900,8.9,9.8,6.9,3.1287,1,8.4236,4.7,3.63,469267.1,4.0822,0.7,5.7,10.5,19.70,0.214,2.8077,11.35,0.2559,0.3,0.8,6.451,0.557,91.1089,0.11,0.09,3.5187,29.91,8.7921,0.003,8521.38,4.8959,5.9,0.07,2.4,0.0409,6.7,0.7478,6.86,2.5332,8.5584,30577.244,5.3587,1.250,15.6,0.19,4393.241,6.708,0.411,0.3,0.9,0.21,5.39,0.048,4.8839,2.64,6.12,26.147,4.3418,3.7722,4.874,10.5,2.35,0.3,-4.8312,6.25,0.11,0.96,53942030.6116,22.90
58,16.27,0.998,0.7,2.81,-5.11,1.2,332.5,0.4694,7.509,2.0622,2.11,7.3,7.62,6.8,56.8,6.2094,12.465,1.665,1.2,1.8589,5.4,5.473,0.0868,17.79,-5.39,24.0,1.122,19107.3,3.63,4.5,411.1041,-3.04,1.5385,-0.4,7.763,0.0605,239942.3,808.429,0.9,4.655,1.4,158.3894,11.4,0.419,2.32,8.4,0.35,0.7175,20.307,96.40,0.241,112.2081,2.85,106.6,45.3,0.8179,8.6549,0.29,13.59,2.87,14.927,0.178,0.267,-4.0243,1.921,1.225,51.81,0.2349,4.8781,0,6.3,0.79,2.8,80.77,3.2,2.37,6.9,2.2295,0.193,0.867,0.176,2.335,8.0739,5.5244,0.09,2.316,0.9,1.75,0.9112,2.202,666.0,4.726,12.8927,7.1974,4.33,2.6854,4.9614,3.707,0.5,4.3906,0.79,535047.864,182.6099,5.6104,318.01,2.94,0.02,40.0301,18.6262,0.55,-17.0231,0.00,149.75,314726.6,7.0977,6.28807,54.852,4954916.78,5.966,0.7400,46114.8,3.4718,1.58,0.88,7.2387,6.2161,2.6,-9.058,0.733,0.041,1.41,6.3410,3.0,3.5,6.3,3.5046,24,10.0526,3.3,6.85,1825724.3,0.0001,0.3,8.1,6.74,20.20,0.342,5.7832,-3.68,0.0492,0.2,0.954,1.532,0.592,13218.9578,0.09,0.78,1.9669,12.18,2.0720,0.418,4.133,7.2264,1.9,0.52,6.3,0.096,5.41,0.5495,4.19,3.2891,11.8601,4.267,4.4843,18.100,5.02,0.8775,242.882,6.17,0.617,0.3,0.82,0.18,4.68,0.258,4.6623,3.0,5.87,26.831,11.0772,5.9848,7.498,8.6,2.09,0.2,-1.9796,6.29,0.31,0.91,235706.1476,14.90
59,12.28,0.954,0.0,2.8,4.49,7.026,3.13,0.6176,3.205,4.6957,5.01,6.8,6.57,1.9,24.0,4.0403,1.346,29224.789,6.5,1.4726,14.9,4.563,0.1278,17.12,4.29,19.3,0.145,4185.7,4.3,4.7,364.2141,-4.61,-1.2822,-0.0,6.793,1.0344,3.0,759.359,0.2,3.428,2.1,3707327.9731,19.3,0.127,3.48,8.7,0.12,49416.1092,42.28,98.80,0.839,57.7823,3.06,117.3,2.35,0.096,8.083,0.2,10.59,2.82,21.753,0.195,0.209,2.3386,574.006,28.397,33.93,0.6902,1.6041,0,2.4,0.15,7.8,1.64,9.5,10.87,19.9,0.8594,0.16,0.633,0.406,1.434,8.7071,6.1106,0.06,1.251,0.7,1.96,0.0898,2.087,666.0,4.154,9.7291,5.5081,6.92,5.1657,3.9282,2.162,0.9,3.2636,7.37,120901.334,1.3388,3.4697,391.98,3.37,0.11,64.9454,8.7308,0.46,7.6231,0.00,1.986,158703.2,6.9795,8.71675,116.069,460138.49,5.947,0.6930,102.2,-0.4252,1.28,0.67,2.1012,4.5528,37.9,-6.6665,0.63,0.148,8.67,6.4710,31.6,0.8,5.8,4.0347,24,7.4344,4.8,4.84,38252.6,1322.8345,0.3,2.6,13.08,20.20,0.591,3.3976,-0.27,0.5274,0.3,0.952,6.142,0.671,7397.9928,0.07,0.33,1.2264,7.8,1.7257,0.044,573.256,7.0865,3.1,0.3,4.6,0.0474,5.87,0.9711,7.08,2.2345,10.0963,819.779,4.9223,18.100,4.39,0.7269,692.773,6.538,0.918,0.6,0.21,0.33,4.35,0.052,5.4732,2.3,7.55,22.676,1.8489,7.3924,5.456,10.8,2.51,0.4,12.4348,6.15,0.2,0.13,804972.443,13.10
60,30.58,0.299,0.1,2.44,6.03,-7.959,2.38,0.2758,6.725,4.1831,2.8,6.8,5.22,7.3,41.0,6.1704,127.517,0.015,1.3,1.3833,8.4,4.361,0.3394,2.98,-6.09,24.4,1.092,362.7,4.52,8.1,1116.2145,-4.83,5.4152,-7.2,7.9257,0.1612,8058768.1,2.122,0.8,2.555,2.3,0.0627,12.2,0.007,3.09,4.8,0.2,4.8955,26.387,42.80,0.867,131.6586,1.47,96.6,0.91,0.3776,3.4914,61.72,7.41,2.9,43.732,0.137,0.317,1.5523,2.715,193.395,37.96,0.3362,1.1689,0,3.3,0.94,2.6,1.03,6.6,1.35,16.5,7.8865,0.491,0.749,0.252,1.072,8.9876,4.2597,0.82,1.668,0.6,1.3,0.274,2.892,254.0,7.24,12.4713,7.0486,9.15,4.2935,6.0003,1.69,0.8,2.039,8.03,0.175,2.4007,5.243,396.90,-1.93,0.25,101.1957,9.6838,0.0,-10.1005,40.00,1.751,0.3,7.4819,0.09604,292.365,329983.58,0.641,0.4470,0.1,3.3397,1.86,0.24,10.7477,4.4852,28.7,19.8184,0.695,0.268,2.07,6.8540,2.1,7.9,7.7,3.7538,4,8.713,2.0,5.86,25320078.2,0.1298,0.2,4.4,11.73,17.60,0.093,4.6165,-4.52,0.887,0.4,0.752,3.238,0.331,22145739.4094,0.16,0.62,4.8184,1.36,4.2673,0.289,2.421,6.0551,1.3,0.55,2.4,0.4674,6.46,0.2874,5.39,3.2494,-2.7815,0.105,4.0869,6.410,1.34,0.4986,6293.666,4.879,0.004,0.3,5.44,0.74,4.59,0.208,4.1217,3.11,6.26,42.179,12.2272,6.1981,5.092,-0.4,3.12,0.2,6.2407,4.49,0.74,0.75,51508.1689,32.00
61,19.77,0.168,0.1,1.72,6.59,14.262,1.05,0.3954,13.589,2.3583,3.93,4.9,9.13,7.3,31.8,2.8677,6.213,494.613,3.3,1.3679,-2.1,5.311,0.3383,25.41,9.34,41.4,0.712,732.2,3.69,6.9,135.2473,-0.69,-3.5301,7.3,9.71,0.1212,14980.9,1413554.057,0.8,1.678,1.8,984807.9106,3.8,0.169,2.97,8.0,0.34,2.4094,23.074,97.00,0.144,87.9918,1.08,127.8,9.37,0.2381,7.0413,28871.68,-0.4,1.95,11.662,0.14,6.212,0.874,1.625,1.662,48.61,0.9916,5.2779,0,1.4,0.08,6.4,1.41,12.6,4.2,36.9,6.3114,0.113,0.939,0.191,2.012,8.2961,3.0165,0.04,5.307,0.8,1.8,0.6033,1.555,188.0,6.748,12.9396,5.4489,8.47,5.7334,7.5839,2.685,0.8,4.1791,2.44,3.321,13.0663,3.2266,370.31,-1.14,0.11,57.9826,8.2256,0.03,-6.4082,0.00,1.698,1.5,7.2353,0.15038,0.038,67790383.19,4.894,0.5810,7.4,-0.3233,2.11,0.65,9.1418,0.1432,9.5,3.4832,0.745,0.09,12.79,5.8560,5.5,-4.8,8.8,4.4296,2,6.7205,3.9,7.2,6190694.3,0.0001,0.5,1.0,13.05,19.10,0.025,3.1137,8.82,0.7821,0.1,0.926,2.901,0.714,5.006,0.26,0.03,2.1234,39.03,1.9444,0.35,339.956,4.3727,1.1,0.05,3.6,0.0533,6.74,0.5236,6.73,3.2683,-3.7565,2097.688,4.8212,25.650,3.02,0.9013,40.004,6.228,0.234,0.3,0.15,0.95,5.22,0.224,4.4613,3.64,7.47,26.605,3.7552,5.7011,2.993,12.9,1.82,0.2,-7.6688,4.89,0.12,0.27,52789.5446,17.30
62,19.51,0.693,0.0,3.05,16.77,15.531,34.22,0.0783,11.615,8.1116,4.13,6.4,5.66,4.7,10.5,4.1911,1.94,4.595,1.0,1.638,1.0,3.339,0.0894,7.20,-7.61,30.3,0.381,124.3,5.89,5.5,278.7135,-4.0,5.5931,21.7,7.9371,0.0363,11811504.5,46514.969,0.8,1.678,19.2,28.8335,4.0,0.004,2.45,5.2,0.27,0.322,20.088,52.30,0.752,99.5176,1.76,106.0,42.77,0.8266,8.5549,9.79,4.89,2.69,34.329,0.566,5.556,13.7746,11.313,2.462,26.86,0.9034,3.9345,0,1.8,0.85,7.6,1.72,5.8,2.03,21.6,6.4166,0.558,0.834,0.162,13.594,5.1985,3.1247,1.58,19.356,0.5,0.32,0.6063,4.988,287.0,4.601,10.8355,5.8302,7.97,3.68,7.8422,1.895,0.4,4.7306,8.22,550.879,3.3027,2.89,396.90,-0.45,0.12,44.2697,6.8391,0.13,15.0487,0.00,20.07,31428016.4,7.8362,0.16760,4000.507,50892.53,5.643,0.4930,0.0,5.686,2.05,0.73,7.7975,-6.6416,34.3,7.8136,0.556,0.003,4.79,6.4260,1.6,6.4,9.2,3.9796,5,9.5534,5.2,6.36,63.5,13366157.1814,0.2,1.2,8.79,19.60,0.004,4.8585,3.94,0.7646,0.1,0.811,2.925,0.656,274.865,0.07,0.47,2.4395,1.05,4.5404,0.268,4075.096,8.1658,1.1,0.15,4.5,0.2058,6.47,0.5012,7.07,3.4279,18.7366,8029.327,3.7446,7.380,1.72,0.5502,561.515,5.106,0.03,0.3,0.14,0.77,4.17,0.261,5.0175,2.74,7.09,28.598,3.4893,6.9218,3.935,11.6,2.48,0.5,-1.3339,4.35,0.21,0.03,1299233.0132,23.80
63,16.05,0.015,0.3,3.33,7.43,21.771,1.51,0.477,5.89,6.956,6.22,5.2,4.62,6.0,34.6,4.5462,2.945,81249.872,1.6,1.2182,16.1,2.993,0.2866,6.58,10.11,21.8,0.053,8035.7,5.84,6.5,172.3756,13.78,5.8321,5.4,7.916,0.0692,9991.3,2962.605,0.1,3.348,2.4,28.2466,1.3,0.294,2.76,6.5,0.1,703690269.892,28.736,29.30,0.865,100.5937,1.87,70.1,7.92,0.5475,5.8468,0.0,13.04,2.82,20.593,0.784,6.278,3.7985,6.604,2.735,35.25,0.3728,-3.4815,0,1.5,0.92,3.7,5.61,5.1,9050.08,32.4,1.1682,0.18,0.518,0.344,7.001,7.0942,4.98,0.22,1.054,0.3,1.41,0.8737,5.294,307.0,6.752,4.4609,3.5009,8.78,2.5387,5.2026,1.884,0.8,5.0678,6.98,626689.231,1.0892,3.2202,386.85,2.94,0.07,20.8416,5.3901,0.13,5.1023,0.00,1.241,71348339.8,7.5023,1.05393,350.524,43055.76,4.521,0.5380,0.1,3.8433,1.65,0.6,10.7075,12.6838,22.2,0.3369,0.667,0.108,1.08,5.9350,1.0,11.2,8.4,3.9875,4,8.9098,3.9,6.9,10614608.7,1.702,0.3,1.1,20.35,21.00,0.334,3.2792,-1.78,0.1427,0.0,0.871,5.395,0.17,26.081,0.24,1.09,1.5872,39.91,4.4986,0.357,67.77,7.2053,5.3,0.03,3.7,0.0233,6.03,0.7472,6.15,3.4101,3.5948,7.36,6.6957,8.140,11.87,0.9133,6435.538,5.153,0.909,0.1,5.18,0.21,5.85,0.935,4.7668,3.77,5.79,38.183,4.6312,2.7043,7.551,10.3,2.32,0.5,6.0898,6.77,0.2,0.13,164207.8897,23.10
64,47.56,0.27,0.1,1.08,-7.66,3.359,1.63,0.2356,16.128,2.4525,1.7,6.8,6.57,4.8,37.1,3.0035,3.736,1143.062,201.4,1.3456,-10.3,3.523,0.0754,3.26,1.62,28.7,0.053,1701.6,6.89,5.3,20.1815,-0.37,3.2745,-7.1,10.592,0.0487,894.4,1726.526,0.0,1.584,2.1,10793001.733,4.7,0.147,2.9,6.9,0.12,13611.4164,36.12,100.00,0.641,105.4005,2.52,42.6,9.96,0.5914,11.1965,346995.55,13.07,1.64,7.984,0.613,6.212,2.9322,118.403,1.342,31.77,0.6375,0.0354,0,1.8,0.41,5.7,5.87,11.4,1.27,59.6,5.6397,0.082,0.736,0.42,2.111,4.5468,3.9543,0.42,1.017,0.2,1.64,0.3053,5.461,666.0,5.262,10.9581,6.1676,7.35,1.5841,4.1327,1.544,0.6,0.6891,4.7,113546.656,213.3185,1.1436,375.52,2.14,0.14,40.6069,-7.1381,0.35,16.0547,0.00,4.769,3.4,8.592,4.89822,7.124,6.53,6.175,0.6310,0.1,4.1229,1.05,0.61,13.2715,15.6342,17.6,-1.7701,0.757,0.04,90.81,4.9700,2.1,3.7,9.2,4.1969,24,11.1583,3.0,7.14,166.8,0.0004,0.3,1.1,14.86,20.20,0.303,5.7864,2.61,0.5678,0.3,0.676,2.133,0.098,1991549.6742,0.06,0.07,1.716,4.77,1.3325,0.117,17287.005,6.7613,2.0,0.29,2.7,0.0709,5.77,0.1751,5.85,2.023,13.1193,5.636,5.7198,18.100,1.13,0.2808,15094.953,6.058,0.738,0.3,0.64,0.68,6.99,0.121,4.8539,2.66,6.12,33.219,7.9506,5.4915,8.028,12.6,1.74,0.3,-12.0176,5.17,0.51,0.88,206.2361,50.00
65,6.52,0.726,0.1,5.45,-2.15,-0.943,32.31,1.2035,10.562,4.8386,3.86,5.8,7.02,5.8,28.0,4.9575,67.882,12574.665,2.7,1.0213,-6.5,5.074,0.4288,26.77,14.05,18.5,0.247,3550.4,3.24,8.5,866.1867,7.46,1.5435,4.7,7.653,0.2003,313.6,5.478,0.2,3.91,2.1,0.0002,9.5,0.701,3.34,15.0,0.56,63685.3465,61.303,100.00,0.47,81.5785,1.23,77.7,37.3,0.6214,8.9667,21665.31,22.69,2.93,23.384,0.907,4.986,-6.9775,1.429,703.751,53.47,0.287,0.5218,0,7.8,0.24,6.8,2.0,4.5,1.19,44.0,1.0036,0.421,0.799,0.112,6.689,1.4921,2.7206,0.24,87.149,0.3,1.85,0.6244,0.089,666.0,5.93,12.86,3.8855,5.45,2.2767,3.7529,3.311,0.3,4.977,7.05,1484.315,14.4463,1.2408,396.90,1.92,0.0,36.1786,-3.3038,0.07,6.3146,0.00,1.647,74083321.3,5.3616,25.04610,17655.702,959044.1,1.949,0.6930,9.4,4.626,1.28,0.5,5.1655,7.2123,8.3,8.1854,0.611,0.033,2.17,5.9870,1.3,3.4,6.7,3.0054,24,7.3338,2.3,5.54,20934141.8,4.5308,0.3,12.7,4.2,20.20,0.288,5.2,-1.9,0.8148,0.2,0.539,4.161,0.534,509769.3291,0.06,0.42,1.0151,2.05,1.5888,0.123,26.629,5.8478,1.0,0.05,4.2,0.0013,5.46,0.0818,5.63,3.0277,12.9283,0.107,7.0734,18.100,1.36,0.4576,13109.377,5.717,0.241,0.6,0.93,0.16,5.93,0.882,4.7808,2.77,7.3,31.906,0.2224,4.6905,3.203,12.9,1.84,0.2,15.6985,6.01,0.96,0.54,27803.7947,5.60
66,14.84,0.978,0.2,6.08,3.08,4.508,28.88,0.0014,5.521,4.5217,5.71,6.0,5.51,6.0,26.5,3.4423,1.554,21493415.909,3.3,1.2958,4.1,4.031,0.1728,3.54,1.17,34.2,0.2,464.3,2.97,8.1,170.5907,7.28,2.7974,2.5,9.6481,0.258,46714.8,277.0,0.4,4.542,4.4,7.3808,8.4,0.403,2.38,8.6,0.07,569734438.542,61.327,8.40,0.734,84.2869,1.45,56.5,6.93,0.7382,8.3603,26962633.24,16.25,2.9,15.673,0.241,5.676,3.702,1.075,10.12,52.14,0.1954,4.2762,0,2.5,0.09,5.7,1.21,5.2,1.38,18.9,-0.5615,0.369,0.847,0.334,28.726,7.9698,3.7508,0.59,2.064,0.1,1.77,0.2412,1.546,330.0,3.965,3.9723,6.795,9.83,2.3833,5.7281,4.303,0.3,0.27,0.74,3092800.725,1.0617,2.4785,396.90,-3.54,0.15,44.0332,-11.0578,0.67,4.3252,22.00,4.858,1188410.4,7.9304,0.36894,64.237,9.54,5.988,0.4310,0.0,1.0554,1.73,0.37,5.0815,0.4735,25.0,18.6937,0.589,0.084,1.02,8.2590,1.3,3.8,6.4,3.4209,7,10.6749,3.5,7.02,0.0,1756124.4652,0.7,1.0,15.5,19.10,0.908,4.1106,0.95,0.6395,0.3,0.958,2.143,0.452,12.0596,0.03,0.93,28.7207,1.22,8.9067,0.001,202.424,7.7481,2.0,0.2,5.5,0.4942,6.11,0.4782,3.95,3.0477,14.8108,0.811,4.2188,5.860,1.12,0.5152,572.706,5.202,0.594,0.1,1.93,0.74,3.91,0.106,5.3529,2.08,8.99,27.234,7.3162,6.624,8.29,8.3,3.22,0.4,-2.089,5.94,0.63,0.22,15520.9756,42.80
67,21.12,0.845,0.2,39.09,-2.39,4.33,4.67,0.2327,15.333,1.4969,4.37,6.9,3.41,6.8,38.2,6.1004,1.015,62464.931,4.6,2.1446,9.8,2.931,0.017,6.92,3.24,25.8,0.359,583.1,6.48,5.5,216.9028,10.54,4.7039,-6.9,8.025,0.0776,510733.2,18994.751,0.8,2.274,2.3,4.4896,5.4,0.139,3.49,8.2,0.13,10130.6871,29.014,74.40,0.275,88.5618,1.6,59.8,21.0,0.5255,10.0736,0.01,15.35,2.61,10.66,0.84,0.113,2.0715,1.332,1.026,45.06,0.7814,0.0844,0,1.1,0.18,4.3,2.6,13.9,4.13,43.9,4.2152,0.216,0.739,0.189,2.962,2.0128,4.6963,1.53,3.155,0.9,1.17,0.7949,0.492,296.0,3.064,3.6659,3.7924,7.25,3.611,7.3811,1.588,0.5,2.6459,5.99,7947.223,2.3961,4.1726,391.27,2.7,0.02,30.5142,-8.0118,0.36,6.2449,0.00,238.413,668.4,6.3272,0.06642,121595.538,18229632.32,4.458,0.5100,5301.4,2.9039,1.9,0.81,13.0741,-1.0739,21.6,5.5273,0.736,0.069,7.5,6.8600,7.2,-0.6,9.3,5.1956,5,8.6967,1.6,6.96,191060.7,241449.109,0.3,2.3,10.77,16.60,1.164,6.2524,12.35,0.5494,0.2,0.677,4.282,0.128,1117.7079,0.01,0.37,274.2016,2.94,2.9153,0.109,0.3,4.8707,2.0,0.1,6.3,0.0521,7.11,0.7527,7.65,3.0007,2.3215,0.744,7.4801,4.050,1.04,0.7723,1632.091,6.682,0.172,0.1,0.54,0.88,4.47,0.338,4.2339,3.27,5.11,17.675,2.4533,7.0984,8.721,9.4,2.85,0.4,5.0758,6.36,0.85,0.21,546.9142,29.90
68,24.06,0.214,0.5,2.3,-3.96,19.918,18.26,0.1277,9.714,3.3832,3.02,5.4,3.82,6.5,36.7,3.6591,4.985,167.049,3.4,1.9837,0.0,3.921,0.1584,17.15,7.13,27.6,0.431,13155.2,4.79,6.3,905.3762,1.03,-0.9158,-5.5,6.1188,0.4033,12811386.5,4004960.012,0.0,1.045,1.1,0.0,1.6,0.014,3.3,12.0,0.16,1149.1836,17.543,84.70,0.245,68.7409,2.63,101.9,0.91,0.6509,11.0419,327.32,-2.83,2.61,15.425,0.485,5.24,10.8765,14.097,2.473,51.87,0.0871,-1.4165,0,2.2,0.2,4.7,2.37,6.6,9.94,9.4,5.3643,0.18,0.757,0.182,3.009,4.4255,5.4011,0.99,1.233,0.1,1.83,0.2467,2.486,666.0,7.126,6.6503,6.7494,6.39,0.3943,4.4745,2.73,0.2,0.4764,10.27,37.803,1.6521,4.4871,22.01,-0.16,0.06,35.2478,2.7081,0.0,-23.1917,0.00,1.529,664648107.5,6.2708,3.77498,34.841,468.48,5.925,0.6550,0.8,4.2478,1.68,0.81,11.8948,10.8059,44.9,-4.3985,0.571,0.026,1.82,5.9520,1.2,6.0,6.9,3.9133,24,9.4996,0.9,7.18,226457.3,60159027.083,0.7,1.7,16.24,20.20,0.881,3.1721,11.79,0.8766,0.0,0.996,4.576,0.696,6983.8428,0.13,0.4,1.3697,2.75,2.8715,0.018,753.053,7.3187,15.7,0.2,3.7,0.3279,4.7,0.9698,5.99,2.5365,12.0756,1063.132,5.4506,18.100,5.66,0.166,2098.471,5.998,0.968,0.6,0.13,0.78,2.67,0.993,4.8337,3.14,5.21,19.993,2.4595,6.8641,8.911,7.8,2.64,0.5,24.0378,5.46,0.16,0.9,113589.1934,19.00
